Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
240000,0.64104116,0.0,-0.27069393,0.23780702,0.0061025526,0.10371176,0.000282337,0.17454696,0.09514299,-0.6602519715897648,218.29268292682926,-0.6683413414728074,0.4221101041351046
250000,0.7085191,0.0,-0.22038527,0.23564138,0.0091833435,0.10241574,0.0002816277,0.20533505,0.10045712,-0.5323909668726489,203.65384615384616,-0.5323910759045527,0.409608078833956
260000,0.7241606,0.0,-0.2013417,0.21794418,0.0059511224,0.1009981,0.00028092024,0.19917676,0.08638606,-0.8186893288511783,231.4090909090909,-0.8186894702640447,0.4815097215839408
270000,0.97402596,0.0,-0.27155206,0.22313106,0.003302231,0.09564156,0.00028013,0.23274255,0.15430579,-0.7699069136450457,225.74418604651163,-0.764460380588259,0.48565633852212203
280000,0.5001595,0.0,-0.26778585,0.22257444,0.00313887,0.09772348,0.0002793486,0.17886785,0.10152489,-0.8484126337016711,234.26190476190476,-0.8519070453422014,0.510932702614471
290000,0.5796702,0.0,-0.27756396,0.179863,0.0037040426,0.09640446,0.00027857148,0.13314915,0.06757557,-0.8140386952422992,230.86046511627907,-0.8140388290549434,0.29672573849039025
300000,0.7874321,0.0,-0.2897934,0.1941058,0.0039110202,0.08699061,0.00027787295,0.21330474,0.11656633,-0.8042438352230664,235.8780487804878,-0.8042439738424813,0.4371075180881634
310000,0.558147,0.0,-0.27593353,0.19475919,0.0047898768,0.10342115,0.00027716425,0.19487636,0.09890621,-0.8194751114624136,235.10638297872342,-0.8194752519435071,0.4763095763293987
320000,0.3039821,0.0,-0.25483972,0.18669693,0.0040564165,0.10107312,0.00027637414,0.14774603,0.07125159,-0.7104358339729981,220.76923076923077,-0.7028158534514276,0.3563254582450578
330000,0.24736719,0.0,-0.23067078,0.1418603,0.0057136887,0.10249561,0.0002755885,0.06488434,0.020738203,-0.5856037141078696,206.1320754716981,-0.5856541451418175,0.17656871448007394
340000,0.22058566,0.0,-0.24832025,0.12354946,0.0092831915,0.10017535,0.00027488623,0.073866494,0.027881768,-0.502462527885729,195.51020408163265,-0.5024082149778094,0.15038585633856758
350000,0.2099053,0.0,-0.22403507,0.08865419,0.004117736,0.105813146,0.00027417002,0.08093713,0.032122422,-0.575325867968301,203.44444444444446,-0.5845580327769985,0.14737013261765242
360000,0.20609762,0.0,-0.17417938,0.07483279,0.004709394,0.104508996,0.00027337746,0.05636127,0.021835368,-0.6011878207960928,203.3090909090909,-0.5938025243856289,0.12701831589004509
370000,0.25379872,0.0,-0.29406726,0.06183981,0.0019092439,0.10609432,0.00027259212,0.08120107,0.034976713,-0.9147221559800932,240.91666666666666,-0.9170270981015386,0.1576963703122896
380000,0.26763302,0.0,-0.2978091,0.08058813,0.0047712717,0.106649406,0.0002718802,0.08464443,0.027223669,-0.706163337650508,219.07843137254903,-0.7003400701284409,0.19950082270428537
390000,0.27573004,0.0,-0.31228873,0.10656563,0.0042660455,0.10099014,0.00027117025,0.106698096,0.04872638,-0.6697142259384107,213.52380952380952,-0.6697143465280533,0.2313109967591507
400000,0.39137042,0.0,-0.2924814,0.123343304,0.004218071,0.105586186,0.0002703781,0.113919914,0.038142666,-0.765874007737471,228.73333333333332,-0.7709058665710947,0.26404416172400763
410000,0.54293704,0.0,-0.22478665,0.17432566,0.010263426,0.10154559,0.0002695884,0.1623275,0.06515823,-0.37006542401338394,184.83928571428572,-0.3586121748794209,0.2743136026473208
420000,0.3886125,0.0,-0.26027787,0.14642772,0.006876649,0.10117496,0.00026887815,0.14674687,0.059293374,-0.4890529759048315,194.61363636363637,-0.5004074580139584,0.25832449280553393
